公司编号,职位名称,职位链接,薪资待遇,工作地点,工作经验,最低学历,招聘人数,公司规模
28805893,电话销售月薪8千,http://sh.ganji.com/zpshichangyingxiao/1378014845x.htm,5000-8000元,浦东,不限,高中,20人,100-499人
494988,文具公司 电话推广文具 不是中介,http://sh.ganji.com/zpshichangyingxiao/1497438882x.htm,5000-8000元,杨浦-东外滩,不限,不限,5人,20-99人
3943508,高薪诚聘商铺电话销售,http://sh.ganji.com/zpshichangyingxiao/475450883x.htm,5000-8000元,闸北-西藏北路,不限,高中,20人,20人以下
23221433,月薪两万等你来挑战,http://sh.ganji.com/zpshichangyingxiao/939598994x.htm,8000-12000元,南汇-周浦,不限,高中,200人,100-499人
22513268,华尔街市场部销售顾问,http://sh.ganji.com/zpshichangyingxiao/1235075912x.htm,5000-8000元,浦东-陆家嘴,1-3年,中专/技校,10人,1000-9999人
22383356,销售带薪培训+高提成+包住,http://sh.ganji.com/zpshichangyingxiao/1654341935x.htm,5000-8000元,昆山-玉山城南,不限,不限,8人,100-499人
22383356,储备主管晋升空间大利润空间大,http://sh.ganji.com/zpshichangyingxiao/1654358900x.htm,3000-5000元,昆山-玉山城南,不限,不限,6人,100-499人
22513268,华尔街英语市场部6k-8k,http://sh.ganji.com/zpshichangyingxiao/1227314824x.htm,5000-8000元,浦东-陆家嘴,1-3年,中专/技校,10人,1000-9999人
22383356,出差人员晋升空间大利润空间大,http://sh.ganji.com/zpshichangyingxiao/1654366199x.htm,5000-8000元,昆山-玉山城南,不限,不限,5人,100-499人
12430527,挑战八千到一万二,http://sh.ganji.com/zpshichangyingxiao/1809980612x.htm,8000-12000元,,不限,大专,10人,500-999人
22383356,销售助理晋升空间大利润空间大,http://sh.ganji.com/zpshichangyingxiao/1654458938x.htm,3000-5000元,昆山-玉山城南,不限,不限,8人,100-499人
22513268,月薪6k-8k华尔街市场部,http://sh.ganji.com/zpshichangyingxiao/1227308020x.htm,5000-8000元,浦东-陆家嘴,1-3年,中专/技校,10人,1000-9999人
22513268,上海市场销售前端顾问6-8K,http://sh.ganji.com/zpshichangyingxiao/1050635582x.htm,5000-8000元,浦东-陆家嘴,不限,中专/技校,5人,1000-9999人
22513268,上海市场推广销售代表6-8K,http://sh.ganji.com/zpshichangyingxiao/886382992x.htm,5000-8000元,浦东,不限,大专,3人,1000-9999人
32073085,急聘网络实习销售员双休,http://sh.ganji.com/zpshichangyingxiao/1477384067x.htm,面议,长宁-虹桥,不限,不限,6人,20-99人
22513268,上海市场销售代表月薪6-8K,http://sh.ganji.com/zpshichangyingxiao/1050631850x.htm,5000-8000元,浦东-陆家嘴,1-3年,中专/技校,5人,1000-9999人
22513268,月薪6k-8k华尔街英语市场部,http://sh.ganji.com/zpshichangyingxiao/1227310900x.htm,5000-8000元,浦东-陆家嘴,1-3年,中专/技校,10人,1000-9999人
22513268,上海华尔街招聘课程顾问,http://sh.ganji.com/zpshichangyingxiao/1008063028x.htm,面议,浦东-陆家嘴,不限,大专,5人,1000-9999人
22513268,华尔街市场部6k-8k,http://sh.ganji.com/zpshichangyingxiao/1219788534x.htm,5000-8000元,浦东-陆家嘴,1-3年,中专/技校,10人,1000-9999人
22513268,售前顾问华尔街英语月薪6k,http://sh.ganji.com/zpshichangyingxiao/1227332578x.htm,5000-8000元,浦东-陆家嘴,不限,中专/技校,5人,1000-9999人
32073085,急聘网络营销策划实习销售,http://sh.ganji.com/zpshichangyingxiao/1464787819x.htm,面议,长宁-虹桥,不限,不限,6人,20-99人
22513268,华尔街英语上海招聘销售代表,http://sh.ganji.com/zpshichangyingxiao/1008094768x.htm,面议,浦东-陆家嘴,不限,大专,10人,1000-9999人
22513268,华尔街总部招市场推广员,http://sh.ganji.com/zpshichangyingxiao/1235090585x.htm,5000-8000元,浦东-陆家嘴,1-3年,中专/技校,10人,1000-9999人
32073085,急聘电子商务网站实习策划推广,http://sh.ganji.com/zpshichangyingxiao/1477381889x.htm,面议,长宁-虹桥,不限,不限,6人,20-99人
12430527,汽车销售包吃住,http://sh.ganji.com/zpshichangyingxiao/1541318895x.htm,8000-12000元,,不限,大专,10人,500-999人
3943508,10万年薪不是梦,http://sh.ganji.com/zpshichangyingxiao/478321757x.htm,3000-5000元,闸北-西藏北路,不限,高中,20人,20人以下
2248827,儿童视力健康训练课程顾问 五险一金,http://sh.ganji.com/zpshichangyingxiao/1222757062x.htm,面议,浦东-塘桥,1-3年,大专,5人,100-499人
619811,聘贷款销售代表 高提成双休,http://sh.ganji.com/zpshichangyingxiao/1142330693x.htm,5000-8000元,浦东-八佰伴,不限,中专/技校,2人,20-99人
619811,招聘网络客服双休无加班,http://sh.ganji.com/zpshichangyingxiao/1459452619x.htm,5000-8000元,浦东-八佰伴,1-3年,大专,20人,20-99人
3943508,10000高薪聘英才,http://sh.ganji.com/zpshichangyingxiao/478333146x.htm,8000-12000元,闸北-西藏北路,不限,大专,20人,20人以下
3943508,高薪诚聘英才,http://sh.ganji.com/zpshichangyingxiao/478345456x.htm,8000-12000元,闸北-和田,不限,初中,20人,20人以下
3943508,月薪10000聘英才,http://sh.ganji.com/zpshichangyingxiao/478350347x.htm,5000-8000元,闸北-和田,不限,高中,20人,20人以下
3943508,年薪10万等你来挑战,http://sh.ganji.com/zpshichangyingxiao/478350356x.htm,5000-8000元,闸北-闸北公园,不限,初中,20人,20人以下
3943508,高薪诚聘 一手商业地产主管/经理,http://sh.ganji.com/zpshichangyingxiao/1061525064x.htm,面议,闸北-闸北公园,3-5年,高中,2人,20人以下
23221433,底薪3K+房补+100提成招电话销售,http://sh.ganji.com/zpshichangyingxiao/1765504856x.htm,8000-12000元,南汇-周浦,不限,高中,200人,100-499人
22108670,上海指引收藏诚聘收藏顾问,http://sh.ganji.com/zpshichangyingxiao/851250741x.htm,5000-8000元,闸北-共和新路,1年以内,高中,10人,1000-9999人
14900932,只招皖赣籍90后销售精英,http://sh.ganji.com/zpshichangyingxiao/1134782358x.htm,5000-8000元,卢湾-世博滨江,不限,不限,10人,100-499人
14900932,招做过房地产和P2P的销售精英,http://sh.ganji.com/zpshichangyingxiao/1381117069x.htm,5000-8000元,黄浦,1-3年,中专/技校,10人,100-499人
14900932,90后的不寻常之路,http://sh.ganji.com/zpshichangyingxiao/1371749577x.htm,5000-8000元,黄浦,不限,高中,20人,100-499人
14900932,月薪过万包住宿等你来挑战,http://sh.ganji.com/zpshichangyingxiao/1371772902x.htm,8000-12000元,黄浦,不限,高中,30人,100-499人
14900932,招能吃苦耐劳的业务员,http://sh.ganji.com/zpshichangyingxiao/1374424593x.htm,5000-8000元,黄浦,不限,不限,15人,100-499人
14900932,诚招部队退伍转业,http://sh.ganji.com/zpshichangyingxiao/1381112011x.htm,5000-8000元,黄浦,不限,中专/技校,10人,100-499人
14900932,为80后私人定制,http://sh.ganji.com/zpshichangyingxiao/1378437553x.htm,5000-8000元,徐汇-万体馆,不限,高中,20人,100-499人
14900932,招性格外向活泼的业务标兵,http://sh.ganji.com/zpshichangyingxiao/1381120768x.htm,5000-8000元,黄浦,不限,不限,15人,100-499人
14900932,诚招刚到上海有规划有理想的投资顾问,http://sh.ganji.com/zpshichangyingxiao/1374207183x.htm,5000-8000元,黄浦,1-3年,高中,5人,100-499人
